product_id,warehouse,quantity,updated_at
SKU-011,tokyo,255,2026-07-11T14:16:47.827908Z
SKU-014,nagoya,96,BAD-TIMESTAMP
SKU-014,nagoya,75,2026-07-08T18:05:47.827920Z
SKU-017,nagoya,80,2026-07-08T05:07:47.827925Z
SKU-017,osaka,294,2026-07-11T08:15:47.827930Z
SKU-012,fukuoka,70,2026-07-10T20:07:47.827935Z
SKU-016,nagoya,229,2026-07-09T20:32:47.827939Z
SKU-006,tokyo,88,2026-07-10T08:40:47.827944Z
SKU-004,nagoya,252,BAD-TIMESTAMP
SKU-004,tokyo,99,2026-07-09T21:18:47.827954Z
,nagoya,125,2026-07-08T04:51:47.827958Z
SKU-014,fukuoka,106,2026-07-10T02:09:47.827963Z
SKU-004,tokyo,78,2026-07-11T05:38:47.827968Z
SKU-013,fukuoka,209,2026-07-10T04:37:47.827972Z
SKU-020,osaka,201,2026-07-08T18:56:47.827977Z
SKU-011,osaka,132,2026-07-10T14:27:47.827981Z
SKU-005,osaka,73,2026-07-10T16:43:47.827986Z
SKU-014,nagoya,71,2026-07-10T17:07:47.827992Z
SKU-008,fukuoka,117,2026-07-08T03:50:47.827997Z
SKU-006,tokyo,87,2026-07-08T11:46:47.828001Z
SKU-002,fukuoka,229,2026-07-10T00:31:47.828006Z
SKU-010,osaka,268,2026-07-11T02:31:47.828010Z
SKU-011,osaka,224,2026-07-11T02:35:47.828015Z
SKU-009,fukuoka,38,2026-07-10T12:52:47.828020Z
SKU-014,tokyo,166,2026-07-08T12:47:47.828024Z
SKU-009,osaka,59,2026-07-10T16:35:47.828029Z
SKU-019,tokyo,221,2026-07-11T20:49:47.828033Z
,tokyo,258,2026-07-11T16:52:47.828038Z
SKU-007,tokyo,285,2026-07-09T07:11:47.828042Z
SKU-012,tokyo,97,2026-07-09T01:13:47.828047Z
SKU-001,nagoya,50,2026-07-08T08:50:47.828052Z
SKU-014,fukuoka,299,2026-07-09T11:26:47.828056Z
SKU-007,osaka,19,2026-07-09T01:29:47.828061Z
SKU-010,tokyo,213,2026-07-09T06:20:47.828065Z
SKU-006,nagoya,31,2026-07-08T04:24:47.828070Z
SKU-018,,211,2026-07-08T19:39:47.828074Z
SKU-006,nagoya,58,2026-07-09T12:15:47.828079Z
SKU-007,nagoya,295,2026-07-09T17:11:47.828085Z
SKU-018,fukuoka,114,2026-07-12T00:57:47.828089Z
SKU-002,tokyo,146,2026-07-08T02:33:47.828096Z
SKU-012,nagoya,88,2026-07-10T19:40:47.828100Z
SKU-001,fukuoka,22,BAD-TIMESTAMP
,osaka,261,2026-07-09T09:41:47.828109Z
SKU-005,osaka,86,2026-07-09T21:35:47.828114Z
SKU-018,osaka,60,2026-07-08T17:57:47.828119Z
SKU-012,fukuoka,252,2026-07-08T09:51:47.828124Z
SKU-004,fukuoka,78,2026-07-09T12:36:47.828128Z
SKU-006,tokyo,181,2026-07-08T19:48:47.828132Z
SKU-008,fukuoka,81,2026-07-11T01:54:47.828137Z
SKU-012,osaka,85,2026-07-11T06:54:47.828142Z
SKU-009,fukuoka,-1,2026-07-10T15:13:47.828148Z
SKU-018,osaka,211,2026-07-09T16:39:47.828152Z
SKU-001,tokyo,52,2026-07-09T09:35:47.828157Z
,osaka,185,2026-07-10T18:59:47.828161Z
SKU-009,tokyo,196,2026-07-10T00:38:47.828166Z
SKU-018,,-3,2026-07-08T16:59:47.828170Z
SKU-004,fukuoka,282,2026-07-09T08:36:47.828175Z
SKU-015,nagoya,101,2026-07-08T19:09:47.828179Z
SKU-020,nagoya,142,2026-07-09T21:56:47.828184Z
SKU-011,nagoya,277,2026-07-11T04:51:47.828188Z
SKU-012,nagoya,260,2026-07-08T20:32:47.828194Z
SKU-019,nagoya,242,2026-07-10T08:04:47.828198Z
SKU-016,fukuoka,285,2026-07-08T14:47:47.828203Z
SKU-007,tokyo,172,2026-07-12T00:34:47.828209Z
SKU-003,tokyo,115,2026-07-10T08:36:47.828214Z
SKU-009,tokyo,14,2026-07-11T06:49:47.828218Z
SKU-011,tokyo,83,2026-07-09T17:56:47.828223Z
SKU-011,nagoya,10,2026-07-10T21:50:47.828227Z
SKU-020,fukuoka,89,2026-07-11T11:37:47.828232Z
SKU-005,nagoya,39,2026-07-10T00:39:47.828236Z
SKU-014,osaka,122,2026-07-08T05:52:47.828241Z
SKU-010,osaka,93,2026-07-09T05:17:47.828249Z
,tokyo,211,2026-07-08T07:35:47.828259Z
SKU-002,tokyo,46,2026-07-09T00:40:47.828270Z
SKU-002,fukuoka,-3,2026-07-09T20:37:47.828277Z
SKU-005,osaka,289,2026-07-08T02:10:47.828286Z
SKU-015,nagoya,186,2026-07-11T15:31:47.828291Z
,nagoya,86,2026-07-09T12:21:47.828296Z
SKU-006,tokyo,8,2026-07-09T00:58:47.828301Z
SKU-011,nagoya,150,2026-07-11T11:20:47.828305Z
